Variable,Breakdown,Breakdown_category,Year,RD_Value,Status,Unit,Footnotes,Relative_Sampling_Error
_01_Total_RD_Expenditure,Industry,05_Higher Education Industry Group,2019,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,Industry,05_Higher Education Industry Group,2020,1202,R,NZ Dollars (millions),3 and 12,0
_01_Total_RD_Expenditure,Industry,05_Higher Education Industry Group,2021,...,,NZ Dollars (millions),3 and 12,...
_01_Total_RD_Expenditure,Industry,05_Higher Education Industry Group,2022,1254,P,NZ Dollars (millions),3 and 12,0
_01_Total_RD_Expenditure,Published_Industry,01_Primary,2016,96,,NZ Dollars (millions),12,23.8
_01_Total_RD_Expenditure,Published_Industry,01_Primary,2018,98,,NZ Dollars (millions),12,49.8
_01_Total_RD_Expenditure,Published_Industry,01_Primary,2019,98,,NZ Dollars (millions),12,30.2
_01_Total_RD_Expenditure,Published_Industry,01_Primary,2020,101,,NZ Dollars (millions),12,29.7
_01_Total_RD_Expenditure,Published_Industry,01_Primary,2021,91,,NZ Dollars (millions),12,26
_01_Total_RD_Expenditure,Published_Industry,01_Primary,2022,90,,NZ Dollars (millions),12,42.7
_01_Total_RD_Expenditure,Published_Industry,02_Food_Manufacturing,2016,110,,NZ Dollars (millions),12,27.1
_01_Total_RD_Expenditure,Published_Industry,02_Food_Manufacturing,2018,74,,NZ Dollars (millions),12,17.8
_01_Total_RD_Expenditure,Published_Industry,02_Food_Manufacturing,2019,78,,NZ Dollars (millions),12,22.7
_01_Total_RD_Expenditure,Published_Industry,02_Food_Manufacturing,2020,108,,NZ Dollars (millions),12,12.6
_01_Total_RD_Expenditure,Published_Industry,02_Food_Manufacturing,2021,99,,NZ Dollars (millions),12,18.2
_01_Total_RD_Expenditure,Published_Industry,02_Food_Manufacturing,2022,86,,NZ Dollars (millions),12,12.1
_01_Total_RD_Expenditure,Published_Industry,03_Beverage and tobacco manufacturing,2016,7,,NZ Dollars (millions),3 and 12,23.5
_01_Total_RD_Expenditure,Published_Industry,03_Beverage and tobacco manufacturing,2018,9,,NZ Dollars (millions),3 and 12,57.7
_01_Total_RD_Expenditure,Published_Industry,03_Beverage and tobacco manufacturing,2019,10,,NZ Dollars (millions),3 and 12,32.7
_01_Total_RD_Expenditure,Published_Industry,03_Beverage and tobacco manufacturing,2020,12,,NZ Dollars (millions),3 and 12,63.9
_01_Total_RD_Expenditure,Published_Industry,03_Beverage and tobacco manufacturing,2021,11,,NZ Dollars (millions),3 and 12,13.9
_01_Total_RD_Expenditure,Published_Industry,03_Beverage and tobacco manufacturing,2022,9,,NZ Dollars (millions),3 and 12,14.1
_01_Total_RD_Expenditure,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2016,6,,NZ Dollars (millions),3 and 12,14.2
_01_Total_RD_Expenditure,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2018,9,,NZ Dollars (millions),3 and 12,33.5
_01_Total_RD_Expenditure,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2019,11,,NZ Dollars (millions),3 and 12,30.8
_01_Total_RD_Expenditure,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2020,12,,NZ Dollars (millions),3 and 12,41.2
_01_Total_RD_Expenditure,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2021,14,,NZ Dollars (millions),3 and 12,26.8
_01_Total_RD_Expenditure,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2022,12,,NZ Dollars (millions),3 and 12,17.2
_01_Total_RD_Expenditure,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2016,76,,NZ Dollars (millions),12,14.5
